PMID	MESH_ID	MESH_TERM
22210201	D000013	Deformity
22210014	D000013	Deformity
22208318	D000013	Deformity
22210070	D000013	Deformity
22208855	D000013	Deformity
22208330	D000038	Abscess
22209937	D000038	Abscess
22209112	D000038	Abscess
22209918	D000038	Abscesses
22209112	D000038	Abscesses
22209143	D000038	Abscesses
22208325	D000130	Achondroplasia
22208793	D000138	Acidosis
22208446	D000138	Acidosis
22208793	D000138	Metabolic Acidosis
22208793	D000138	Acidosis, Metabolic
22208447	D000163	Acquired Immune Deficiency Syndrome
22208847	D000208	Acute Disease
22208847	D000208	Disease, Acute
22210019	D000210	Acute-Phase Response
22210019	D000210	Response, Acute Phase
22210048	D000230	Adenocarcinoma
22209340	D000230	Adenocarcinoma
22209841	D000230	Adenocarcinoma
22208782	D000230	Adenocarcinoma
22208386	D000230	Adenocarcinoma
22210035	D000230	Adenocarcinoma
22209431	D000230	Adenocarcinoma
22209714	D000230	Adenocarcinoma
22210381	D000230	Adenocarcinoma
22209504	D000230	Adenocarcinoma
22209037	D000230	Adenocarcinomas
22209340	D000230	Adenocarcinomas
22208386	D000230	Adenocarcinomas
22209228	D000236	Adenoma
21985978	D000236	Adenoma
21985979	D000236	Adenoma
21985978	D000236	Adenomas
21985980	D000236	Adenomas
22208684	D000310	Adrenal Neoplasm
22208684	D000310	Neoplasm, Adrenal
22210247	D000312	Adrenal Hyperplasia, Congenital
22125108	D000312	Adrenal Hyperplasia, Congenital
22210247	D000312	Congenital Adrenal Hyperplasia
22125108	D000312	Congenital Adrenal Hyperplasia
22210247	D000312	Hyperplasia, Congenital Adrenal
22125108	D000312	Hyperplasia, Congenital Adrenal
22209182	D000402	Airway Obstruction
22210073	D000402	Airway Obstruction
22208790	D000402	Airway Obstruction
22209420	D000402	Airway Obstruction
22209182	D000402	Obstruction, Airway
22210073	D000402	Obstruction, Airway
22208790	D000402	Obstruction, Airway
22209420	D000402	Obstruction, Airway
22209020	D000419	Albuminuria
22125108	D000505	Alopecia
22202644	D000505	Alopecia
22125108	D000505	Androgenetic Alopecia
22202644	D000505	Androgenetic Alopecia
22125108	D000506	Alopecia Areata
22207925	D000568	Amenorrhea
22182055	D000568	Amenorrhea
22209315	D000686	Amyloidosis
22210083	D000690	Amyotrophic Lateral Sclerosis
22208117	D000690	Amyotrophic Lateral Sclerosis
22210350	D000690	Amyotrophic Lateral Sclerosis
22210083	D000690	Sclerosis, Amyotrophic Lateral
22208117	D000690	Sclerosis, Amyotrophic Lateral
22210350	D000690	Sclerosis, Amyotrophic Lateral
22210038	D000707	Anaphylaxis
22209283	D000707	Anaphylaxis
22208990	D000707	Anaphylactic Shock
22208494	D000708	Anaplasia
22208527	D000740	Anemia
22208203	D000740	Anemia
22210012	D000740	Anemia
22208203	D000742	Anemia, Congenital Dyserythropoietic
22208203	D000742	Congenital Dyserythropoietic Anemia
22208203	D000742	Congenital Dyserythropoietic Anemia Type II
22209605	D000783	Aneurysm
22209617	D000783	Aneurysm
22209508	D000783	Aneurysm
22209616	D000783	Aneurysm
22209632	D000783	Aneurysm
22210231	D000783	Aneurysm
22208687	D000783	Aneurysm
22209926	D000783	Aneurysm
22209613	D000783	Aneurysm
22208314	D000783	Aneurysms
22209235	D000783	Aneurysms
22209632	D000783	Aneurysms
22209605	D000783	Aneurysms
22209508	D000783	Aneurysms
22209613	D000783	Aneurysms
22209235	D000784	Aneurysms, Dissecting
22209235	D000784	Dissecting Aneurysms
22209965	D000789	Angina, Unstable
22209965	D000789	Unstable Angina
22209248	D000793	Angioid Streaks
22209248	D000793	Streaks, Angioid
22195755	D000799	Angioedema
22195758	D000799	Angioedema
22195757	D000799	Angioedema
22195756	D000799	Angioedema
22209104	D000844	Ankylosis
22202192	D000849	Anomia
22210238	D000855	Anorexia
22210349	D000855	Anorexia
22208963	D000855	Anorexia
22210086	D000855	Anorexia
22208788	D000860	Hypoxemia
22208962	D001005	Cancer, Anal
22208447	D001005	Cancer, Anal
22209605	D001014	Aortic Aneurysm
22209926	D001014	Aortic Aneurysm
22209613	D001014	Aortic Aneurysm
22209617	D001014	Aortic Aneurysm
22209605	D001014	Aneurysm, Aortic
22209926	D001014	Aneurysm, Aortic
22209613	D001014	Aneurysm, Aortic
22209617	D001014	Aneurysm, Aortic
22209605	D001014	Aneurysms, Aortic
22209613	D001014	Aneurysms, Aortic
22209605	D001014	Aortic Aneurysms
22209613	D001014	Aortic Aneurysms
22210143	D001017	Aortic Coarctation
22210143	D001017	Coarctation, Aortic
22202188	D001037	Aphasia
22202189	D001037	Aphasia
22202194	D001037	Aphasia
22202193	D001037	Aphasia
22202192	D001037	Aphasia
22202191	D001037	Aphasia
22202190	D001037	Aphasia
22202188	D001039	Nonfluent Aphasia
22209160	D001049	Apnea
22209926	D001049	Apnea
22209420	D001049	Apnea
22209175	D001145	Arrhythmias, Cardiac
22208185	D001145	Arrhythmia
22210240	D001145	Arrhythmia
22209175	D001145	Cardiac Arrhythmias
22208313	D001165	Arteriovenous Malformations
22208972	D001165	Arteriovenous Malformations
22208314	D001165	Arteriovenous Malformations
22208313	D001165	Malformations, Arteriovenous
22208972	D001165	Malformations, Arteriovenous
22208314	D001165	Malformations, Arteriovenous
22209315	D001167	Arteritis
22209234	D001167	Arteritis
22210235	D001167	Arteritis
22210276	D001168	Arthritis
22209079	D001168	Arthritis
22209881	D001168	Arthritis
22209716	D001168	Arthritis
22209879	D001168	Arthritis
22209884	D001168	Arthritis
22209319	D001168	Arthritis
22210275	D001168	Arthritis
22209316	D001168	Arthritis
22209972	D001168	Arthritis
22125107	D001168	Arthritis
22208140	D001168	Arthritis
22208431	D001168	Arthritis
22210004	D001168	Arthritis
22210271	D001168	Arthritis
22202645	D001168	Arthritis
22208654	D001168	Arthritis
22208656	D001168	Arthritis
22209079	D001172	Arthritis, Rheumatoid
22209319	D001172	Arthritis, Rheumatoid
22209316	D001172	Arthritis, Rheumatoid
22209972	D001172	Arthritis, Rheumatoid
22125107	D001172	Arthritis, Rheumatoid
22208140	D001172	Arthritis, Rheumatoid
22210271	D001172	Arthritis, Rheumatoid
22210276	D001172	Arthritis, Rheumatoid
22208654	D001172	Arthritis, Rheumatoid
22200078	D001195	Asbestosis
22208559	D001196	Ascariasis
22208963	D001201	Ascites
22209118	D001201	Ascites
22210097	D001228	Aspergillosis
22196205	D001228	Aspergillosis
22129552	D001237	Asphyxia
22208177	D001237	Asphyxia
22209059	D001247	Asthenia
22209710	D001247	Asthenia
22008573	D001249	Asthma
22210376	D001249	Asthma
22210046	D001249	Asthma
22210372	D001249	Asthma
22189253	D001249	Asthma
22209878	D001249	Asthma
22209884	D001249	Asthma
22209959	D001249	Asthma
22189254	D001249	Asthma
22208751	D001249	Asthma
22370535	D001249	Asthma
22209309	D001249	Asthma
22209712	D001249	Asthma
22209432	D001259	Ataxia
22209309	D001259	Ataxia
22210379	D001259	Ataxia
22209309	D001259	Ataxia, Truncal
22209930	D001259	Lack of Coordination
22209309	D001259	Truncal Ataxia
22210379	D001260	Ataxia Telangiectasia
22210379	D001260	Ataxia-Telangiectasia
22208788	D001261	Atelectasis
22210158	D001281	Atrial Fibrillation
22208675	D001281	Atrial Fibrillation
22209309	D001281	Atrial Fibrillation
22210158	D001281	Fibrillation, Atrial
22208675	D001281	Fibrillation, Atrial
22209309	D001281	Fibrillation, Atrial
22208291	D001284	Atrophy
22209432	D001284	Atrophy
22208652	D001284	Atrophy
22210235	D001284	Atrophy
22208941	D001284	Atrophy
22208735	D001284	Atrophy
22209496	D001284	Atrophy
22210156	D001284	Atrophy
22210314	D001284	Atrophy
22207923	D001327	Autoimmune Diseases
22209319	D001327	Autoimmune Diseases
22209079	D001327	Autoimmune Diseases
22209316	D001327	Autoimmune Diseases
22208659	D001327	Autoimmune Diseases
22208918	D001327	Autoimmune Diseases
22209716	D001327	Autoimmune Diseases
22209972	D001327	Autoimmune Diseases
22210384	D001327	Autoimmune Diseases
22209691	D001327	Autoimmune Disease
22208499	D001327	Autoimmune Disease
22210084	D001327	Autoimmune Disease
22209691	D001327	Disease, Autoimmune
22208499	D001327	Disease, Autoimmune
22210084	D001327	Disease, Autoimmune
22207923	D001327	Diseases, Autoimmune
22209319	D001327	Diseases, Autoimmune
22209079	D001327	Diseases, Autoimmune
22209316	D001327	Diseases, Autoimmune
22208659	D001327	Diseases, Autoimmune
22208918	D001327	Diseases, Autoimmune
22209716	D001327	Diseases, Autoimmune
22209972	D001327	Diseases, Autoimmune
22210384	D001327	Diseases, Autoimmune
22208857	D001416	Back Pain
22208802	D001416	Back Pain
22208854	D001416	Back Pain
22208858	D001416	Back Pain
22208859	D001416	Back Pain
22208855	D001416	Back Pain
22208857	D001416	Pain, Back
22208802	D001416	Pain, Back
22208854	D001416	Pain, Back
22208858	D001416	Pain, Back
22208859	D001416	Pain, Back
22208855	D001416	Pain, Back
22209380	D001424	Bacterial Infections
22208312	D001424	Bacterial Infections
22209121	D001424	Bacterial Infections
22209380	D001424	Bacterial Infection
22209937	D001424	Bacterial Infection
22209915	D001424	Bacterial Infection
22209380	D001424	Infection, Bacterial
22209937	D001424	Infection, Bacterial
22209915	D001424	Infection, Bacterial
22209380	D001424	Infections, Bacterial
22208312	D001424	Infections, Bacterial
22209121	D001424	Infections, Bacterial
22209747	D001506	Beckwith-Wiedemann Syndrome
22209747	D001506	Beckwith Wiedemann Syndrome
22209747	D001506	Syndrome, Beckwith-Wiedemann
22209942	D001661	Cancer, Biliary Tract
22209086	D001750	Bladder, Neurogenic
22209840	D001752	Blast Crisis
22209840	D001752	Crisis, Blast
22208130	D001766	Blindness
22209677	D001766	Blindness
22208480	D001768	Blister
22210177	D001768	Bleb
22208480	D001768	Blisters
22209283	D001787	Transfusion Reaction
22209283	D001787	Reaction, Transfusion
22209283	D001787	Reactions, Transfusion
22209283	D001787	Transfusion Reactions
21985979	D001847	Bone Disease
21985979	D001847	Disease, Bone
22208330	D001922	Brain Abscess
22208330	D001922	Abscess, Brain
22194438	D001926	Brain Death
22194426	D001926	Brain Death
22194436	D001926	Brain Death
22194439	D001926	Brain Death
22194438	D001926	Death, Brain
22194426	D001926	Death, Brain
22194436	D001926	Death, Brain
22194439	D001926	Death, Brain
22210135	D001927	Pathology, Brain
22210170	D001927	Brain Disease
22209526	D001929	Brain Edema
22209526	D001929	Edema, Brain
22194432	D001930	Brain Injury
22209144	D001930	Brain Injury
22209770	D001930	Brain Injury
22209077	D001930	Brain Injury
22209144	D001930	Brain Injury, Traumatic
22194432	D001930	Injury, Brain
22209144	D001930	Injury, Brain
22209770	D001930	Injury, Brain
22209077	D001930	Injury, Brain
22209144	D001930	Injury, Traumatic Brain
22209841	D001932	Cancer of the Brain
22208749	D001932	Brain Cancers
22208897	D001932	Brain Tumor
22209958	D001932	Cancer, Brain
22208749	D001932	Cancers, Brain
22208897	D001932	Tumor, Brain
22208896	D001932	Tumors, Brain
22209148	D001932	Tumors, Brain
22208897	D001932	Tumors, Brain
22209849	D001943	Breast Carcinoma
22209414	D001943	Human Mammary Carcinoma
